t,x1,x2,x3
0,44.11844155844155,41.51515151515151,15.227161497877525
1,48.26718516760962,38.93228782842325,16.341407780187666
2,53.000135427767326,36.0722787233132,17.45565406249781
3,58.03773522344073,33.207640756552784,18.569900344807973
4,63.10042743915582,30.61089048487341,19.684146627118118
5,67.90865495943869,28.554544465006487,20.798392909428266
6,72.1828606688153,27.310117628549563,21.912639191738418
7,75.64348745181172,27.029818871345622,23.026885474048584
8,78.01097819295394,27.63515698749213,24.141131756358742
9,79.00598066709946,29.021275213664314,25.25537803866889
10,78.46617013488196,31.083316786537385,26.369624320979053
11,76.54181168969943,33.71642494278654,27.483870603289212
12,73.43480239092517,36.815742919087015,28.598116885599374
13,69.34703929793254,40.276413952114005,29.712363167909537
14,64.48041947009476,43.99358127854274,30.826609450219706
15,59.03683996678524,47.86238813504843,31.940855732529872
16,53.21819784737721,51.77797775830631,33.055102014840045
17,47.226390171244056,55.63549338499156,34.16934829715021
18,41.26331399775906,59.33007825177941,35.28359457946037
19,35.53086638629554,62.756875595345086,36.39784086177054
20,30.23094439622683,65.81102865236377,37.5120871440807
21,25.565445086926204,68.38768065951075,38.62633342639087
22,21.736265517767013,70.38197485346117,39.74057970870105
23,18.945302748122554,71.68905447089024,40.85482599101121
24,17.394453837366147,72.20406274847326,41.96907227332138
25,17.280915036212058,71.84698176201486,43.08331855563155
26,18.63081655387358,70.67790017539761,44.19756483794171
27,21.254597027061784,68.80598520713241,45.311811120251875
28,24.948918578204196,66.34045654705005,46.42605740256205
29,29.510443329728385,63.39053388498137,47.54030368487222
30,34.73583340406184,60.06543691075724,48.654549967182376
31,40.421750923632175,56.47438531420844,49.768796249492546
32,46.364858010866925,52.72659878516578,50.8830425318027
33,52.36181678819359,48.93129701346014,51.99728881411288
34,58.20928937803977,45.1976996889223,53.11153509642304
35,63.70393790283298,41.63502650138315,54.225781378733195
36,68.64242448500079,38.35249714067344,55.34002766104336
37,72.82141124697071,35.45933129662403,56.45427394335352
38,76.03756031117032,33.064748659065756,57.568520225663676
39,78.08753380002713,31.277968917829448,58.682766507973824
40,78.76799383596874,30.20821176274591,59.797012790283986
41,77.91024462959001,29.96469688364598,60.911259072594135
42,75.6449631358626,30.64624736238552,62.02550535490428
43,72.25606827495757,32.188888105039645,63.13975163721443
44,68.02871872360542,34.39951557280285,64.25399791952458
45,63.24807315853663,37.08147709714244,65.36824420183473
46,58.1992902564816,40.0381200095257,66.48249048414488
47,53.1675286941709,43.072791641419926,67.59673676645501
48,48.43794714833497,45.9888393242924,68.71098304876514
49,44.29570429570429,48.589610389610385,69.82522933107528
