t,trajectory,value,epoch
0,1,66.85784014643073,0
0,2,34.47929429061505,0
0,3,63.596909419694235,0
0,4,13.34322820037106,0
0,5,92.63745600194197,0
1,1,68.46398101034929,0
1,2,35.20207423726314,0
1,3,62.6485807440408,0
1,4,14.82103603650271,0
1,5,90.90899553686747,0
2,1,70.29953323590361,0
2,2,35.93433493712912,0
2,3,61.565271988771656,0
2,4,16.298760601164503,0
2,5,89.18020987890058,0
3,1,72.29797526830805,0
3,2,36.67545644224452,0
3,3,60.35596055381455,0
3,4,17.77645231851316,0
3,5,87.45112029074498,0
4,1,74.39278555277701,0
4,2,37.42481880464077,0
4,3,59.02962383909712,0
4,4,19.25416161270539,0
4,5,85.72174803510426,0
5,1,76.51744253452493,0
5,2,38.18180207634942,0
5,3,57.595239244547116,0
5,4,20.73193890789791,0
5,5,83.99211437468216,0
6,1,78.60542465876618,0
6,2,38.94578630940197,0
6,3,56.06178417009225,0
6,4,22.209834628247428,0
6,5,82.2622405721823,0
7,1,80.59021037071524,0
7,2,39.71615155582992,0
7,3,54.43823601566022,0
7,4,23.68789919791069,0
7,5,80.53214789030837,0
8,1,82.40527811558643,0
8,2,40.492277867664754,0
8,3,52.73357218117879,0
8,4,25.166181656618544,0
8,5,78.801857591764,0
9,1,83.98410633859417,0
9,2,41.273545296937975,0
9,3,50.95677006657561,0
9,4,26.6447003288795,0
9,5,77.07139093925288,0
10,1,85.26017348495286,0
10,2,42.059333895681085,0
10,3,49.1168070717784,0
10,4,28.12344343711469,0
10,5,75.34076919547866,0
11,1,86.16695799987696,0
11,2,42.84902371592561,0
11,3,47.22266059671492,0
11,4,29.60239794196206,0
11,5,73.61001362314501,0
12,1,86.63927207395898,0
12,2,43.641994809703036,0
12,3,45.28330804131281,0
12,4,31.081550804059546,0
12,5,71.87914548495559,0
13,1,86.65587367190024,0
13,2,44.43762722904485,0
13,3,43.307726805499826,0
13,4,32.56088898404508,0
13,5,70.14818604361407,0
14,1,86.24841502431697,0
14,2,45.23530102598256,0
14,3,41.30489428920366,0
14,4,34.04039944255661,0
14,5,68.41715656182414,0
15,1,85.45169109920377,0
15,2,46.03439625254767,0
15,3,39.283787892352045,0
15,4,35.52006914023207,0
15,5,66.68607830228943,0
16,1,84.30049686455514,0
16,2,46.834292960771684,0
16,3,37.253385014872684,0
16,4,36.999885037709404,0
16,5,64.95497252771355,0
17,1,82.82962728836576,0
17,2,47.63437120268609,0
17,3,35.22266305669328,0
17,4,38.47983409562655,0
17,5,63.22386050080025,0
18,1,81.07387733863013,0
18,2,48.434011030322395,0
18,3,33.20059941774155,0
18,4,39.95990327462143,0
18,5,61.49276348425313,0
19,1,79.06804198334292,0
19,2,49.232592495712105,0
19,3,31.196171497945205,0
19,4,41.44007953533203,0
19,5,59.76170274077592,0
20,1,76.84691619049865,0
20,2,50.02949565088671,0
20,3,29.21835669723196,0
20,4,42.920349838396234,0
20,5,58.03069953307223,0
21,1,74.44529492809194,0
21,2,50.82410054787773,0
21,3,27.27613241552952,0
21,4,44.400701144452015,0
21,5,56.299775123845734,0
22,1,71.8979731641174,0
22,2,51.61578723871666,0
22,3,25.37847605276561,0
22,4,45.88112041413731,0
22,5,54.568950775800126,0
23,1,69.23974586656954,0
23,2,52.40393577543498,0
23,3,23.534365008867926,0
23,4,47.36159460809005,0
