t,trajectory,value,epoch
0,1,1,0
0,2,1,0
0,3,1,0
0,4,11.335456995834347,0
1,1,80.25317289002201,0
1,2,42.16534519202766,0
1,3,54.77561066618876,0
1,4,13.65709711475723,0
2,1,79.28404514309474,0
2,2,40.99430546909403,0
2,3,56.048388697860354,0
2,4,16.516170999385857,0
3,1,78.23736329133584,0
3,2,39.65939776195252,0
3,3,57.39047781425632,0
3,4,19.83713915825545,0
4,1,77.11895218248681,0
4,2,38.18698937633371,0
4,3,58.78169452160147,0
4,4,23.544462099901253,0
5,1,75.93463666428903,0
5,2,36.60344761796816,0
5,3,60.20185532612048,0
5,4,27.562600332858477,0
6,1,74.69024158448408,0
6,2,34.93513979258644,0
6,3,61.63077673403816,0
6,4,31.816014365662355,0
7,1,73.39159179081335,0
7,2,33.20843320591913,0
7,3,63.0482752515792,0
7,4,36.22916470684816,0
8,1,72.04451213101831,0
8,2,31.449695163696795,0
8,3,64.43416738496838,0
8,4,40.72651186495105,0
9,1,70.6548274528404,0
9,2,29.68529297165001,0
9,3,65.7682696404304,0
9,4,45.23251634850631,0
10,1,69.2283626040211,0
10,2,27.941593935509353,0
10,3,67.03039852419005,0
10,4,49.671638666049134,0
11,1,67.77094243230188,0
11,2,26.244965361005377,0
11,3,68.20037054247206,0
11,4,53.96833932611481,0
12,1,66.28839178542421,0
12,2,24.62177455386867,0
12,3,69.25800220150114,0
12,4,58.04707883723851,0
13,1,64.78653551112954,0
13,2,23.098388819829793,0
13,3,70.18311000750208,0
13,4,61.832317707955504,0
14,1,63.271198457159315,0
14,2,21.701175464619322,0
14,3,70.95551046669961,0
14,4,65.24851644680099,0
15,1,61.74820547125501,0
15,2,20.456501793967835,0
15,3,71.55502008531846,0
15,4,68.22013556231022,0
16,1,60.223381401158065,0
16,2,19.390735113605878,0
16,3,71.9632873839536,0
16,4,70.67163556301841,0
17,1,58.70255109460996,0
17,2,18.530242729264053,0
17,3,72.17949637849948,0
17,4,72.52747695746082,0
18,1,57.19153939935214,0
18,2,17.90139194667291,0
18,3,72.21258150203576,0
18,4,73.71212025417265,0
19,1,55.69617116312607,0
19,2,17.530550071563027,0
19,3,72.07158198699986,0
19,4,74.15002596168914,0
20,1,54.222271233673254,0
20,2,17.444084409664978,0
20,3,71.76553706582921,0
20,4,73.76565458854553,0
21,1,52.77566445873508,0
21,2,17.6683622311276,0
21,3,71.30348597096125,0
21,4,72.48346664327705,0
22,1,51.36217568605306,0
22,2,18.21996186089222,0
22,3,70.69446793483347,0
22,4,70.2698211158178,0
23,1,49.98762976336863,0
23,2,19.07809735212967,0
23,3,69.94752218988324,0
23,4,67.2632836534986,0
24,1,48.657851538423266,0
24,2,20.213069255568605,0
24,3,69.07168796854802,0
24,4,63.646656313682755,0
25,1,47.37866585895842,0
25,2,21.595178121937657,0
25,3,68.07600450326524,0
25,4,59.60274118564818,0
26,1,46.15589757271555,0
26,2,23.19472450196548,0
26,3,66.96951102647233,0
26,4,55.3143403586728,0
27,1,44.99537152743611,0
27,2,24.982008946380734,0
27,3,65.76124677060673,0
27,4,50.964255922034475,0
28,1,43.90291257086159,0
28,2,26.927332005912042,0
28,3,64.4602509681059,0
28,4,46.73528996501114,0
29,1,42.884345550733414,0
29,2,29.00099423128806,0
29,3,63.075562851407234,0
29,4,42.81024457688073,0
30,1,41.94549531479308,0
30,2,31.17329617323742,0
30,3,61.616221652948205,0
30,4,39.37192184692113,0
31,1,41.092186710782,0
31,2,33.4145383824888,0
31,3,60.091266605166204,0
31,4,36.60312386441025,0
32,1,40.33024458644167,0
32,2,35.69502140977082,0
32,3,58.50973694049873,0
32,4,34.68665271862599,0
33,1,39.665493789513555,0
33,2,37.98504580581213,0
33,3,56.88067189138318,0
33,4,33.80531049884629,0
34,1,39.10375916773909,0
34,2,40.254912121341384,0
34,3,55.21311069025697,0
34,4,34.141899294349045,0
35,1,38.65086556885976,0
35,2,42.474920907087196,0
35,3,53.516092569557586,0
35,4,35.823297122778726,0
36,1,38.312637840617,0
36,2,44.61537271377825,0
36,3,51.79865676172243,0
36,4,38.64380921627466,0
37,1,38.094900830752294,0
37,2,46.6465680921432,0
37,3,50.069842499188944,0
37,4,42.27529255921696,0
38,1,38.003479387007076,0
38,2,48.53880759291064,0
38,3,48.338689014394575,0
38,4,46.38941307297959,0
39,1,38.044198357122845,0
39,2,50.26239176680925,0
39,3,46.61423553977676,0
39,4,50.65783667893651,0
40,1,38.222882588841024,0
40,2,51.787621164567696,0
40,3,44.9055213077729,0
40,4,54.752229298461735,0
41,1,38.54535692990309,0
41,2,53.08479633691459,0
41,3,43.22158555082047,0
41,4,58.344256852929206,0
42,1,39.01744622805051,0
42,2,54.12421783457859,0
42,3,41.57146750135689,0
42,4,61.10558526371288,0
43,1,39.64497533102473,0
43,2,54.87618620828833,0
43,3,39.9642063918196,0
43,4,62.70788045218677,0
44,1,40.42845662581152,0
44,2,55.311002008772476,0
44,3,38.408841454646044,0
44,4,62.822825854229,0
45,1,41.33663109565822,0
45,2,55.39896578675966,0
45,3,36.91441192227364,0
45,4,61.28879343299735,0
46,1,42.32648007132606,0
46,2,55.11037809297851,0
46,3,35.48995702713983,0
46,4,58.51908973042024,0
47,1,43.35496584295383,0
47,2,54.4155394781577,0
47,3,34.14451600168206,0
47,4,55.05088704406091,0
48,1,44.37905070068032,0
48,2,53.284750493025875,0
48,3,32.887128078337746,0
48,4,51.42135767148248,0
49,1,45.35569693464429,0
49,2,51.68831168831168,0
49,3,31.726832489544346,0
49,4,48.16767391024816,0
