time,cell_id,coordinate_id,value
0.0,0,0,-0.8470808267593384
0.0,0,1,0.6780691146850586
0.0,1,0,0.293320894241333
0.0,1,1,-0.9773006439208984
0.0,2,0,-0.12262177467346191
0.0,2,1,-0.9929494857788086
0.10067114233970642,0,0,-0.892781138420105
0.10067114233970642,0,1,0.577752947807312
0.10067114233970642,1,0,0.40498173236846924
0.10067114233970642,1,1,-0.920920193195343
0.10067114233970642,2,0,-0.04446663707494736
0.10067114233970642,2,1,-0.983467161655426
0.20134228467941284,0,0,-0.9274624586105347
0.20134228467941284,0,1,0.47543269395828247
0.20134228467941284,1,0,0.4978388547897339
0.20134228467941284,1,1,-0.8551246523857117
0.20134228467941284,2,0,0.04127922281622887
0.20134228467941284,2,1,-0.9663428068161011
0.30201342701911926,0,0,-0.9512027502059937
0.30201342701911926,0,1,0.37224361300468445
0.30201342701911926,1,0,0.5775719285011292
0.30201342701911926,1,1,-0.7820093631744385
0.30201342701911926,2,0,0.1275356560945511
0.30201342701911926,2,1,-0.941010594367981
0.4026845693588257,0,0,-0.9641878008842468
0.4026845693588257,0,1,0.2692851126194
0.4026845693588257,1,0,0.6460934281349182
0.4026845693588257,1,1,-0.7028842568397522
0.4026845693588257,2,0,0.21117429435253143
0.4026845693588257,2,1,-0.907789409160614
0.5033557415008545,0,0,-0.9667083621025085
0.5033557415008545,0,1,0.1676107496023178
0.5033557415008545,1,0,0.7040567398071289
0.5033557415008545,1,1,-0.6188543438911438
0.5033557415008545,2,0,0.29051730036735535
0.5033557415008545,2,1,-0.8672824501991272
0.6040268540382385,0,0,-0.9591521620750427
0.6040268540382385,0,1,0.06821925193071365
0.6040268540382385,1,0,0.751652717590332
0.6040268540382385,1,1,-0.5309858322143555
0.6040268540382385,2,0,0.3645426630973816
0.6040268540382385,2,1,-0.8201902508735657
0.7046979665756226,0,0,-0.9419929385185242
0.7046979665756226,0,1,-0.027953332290053368
0.7046979665756226,1,0,0.7889300584793091
0.7046979665756226,1,1,-0.44034743309020996
0.7046979665756226,2,0,0.43256551027297974
0.7046979665756226,2,1,-0.7672480940818787
0.8053691387176514,0,0,-0.9157885313034058
0.8053691387176514,0,1,-0.12004178762435913
0.8053691387176514,1,0,0.815929651260376
0.8053691387176514,1,1,-0.34801068902015686
0.8053691387176514,2,0,0.4941025376319885
0.8053691387176514,2,1,-0.7092068791389465
0.9060403108596802,0,0,-0.8811661005020142
0.9060403108596802,0,1,-0.20725670456886292
0.9060403108596802,1,0,0.8327503800392151
0.9060403108596802,1,1,-0.2550402581691742
0.9060403108596802,2,0,0.5488020181655884
0.9060403108596802,2,1,-0.6468225121498108
1.006711483001709,0,0,-0.8388150334358215
1.006711483001709,0,1,-0.28889000415802
1.006711483001709,1,0,0.8395737409591675
1.006711483001709,1,1,-0.16247940063476562
1.006711483001709,2,0,0.5964167714118958
1.006711483001709,2,1,-0.5808513164520264
1.1073825359344482,0,0,-0.7894772887229919
1.1073825359344482,0,1,-0.36431989073753357
1.1073825359344482,1,0,0.8366720676422119
1.1073825359344482,1,1,-0.07133696228265762
1.1073825359344482,2,0,0.6367858052253723
